"rank","Countdown","Spotify"
"414","No Rain - Blind Melon","No Rain - Blind Melon"
"415","Blow Up The Outside World - Soundgarden"," - "
"416","Snowblind - Black Sabbath"," - "
"417","In Bloom - Nirvana","In Bloom - Nevermind Version - Nirvana"
"418","Undone (The Sweater Song) - Weezer","Undone (The Sweater Song) - Molotov Cocktail Piano"
"419","Blister In The Sun - Violent Femmes","Blister in the Sun - 2002 Remastered Version - Violent Femmes"
"420","Gather Yourselves - Villainy","Gather Yourselves - Villainy"
"421","Rock 'n' Roll Ain't Noise Pollution - AC/DC","Rock N' Roll Ain't Noise Pollution - The Back In Black Orchestral Ensemble"
"422","Digital Bath - Deftones","Digital Bath - Deftones"
"423","When The Levee Breaks - Led Zeppelin","When The Levee Breaks - Led Zeppelin"
"424","Broken - Seether Ft. Amy Lee"," - "
"425","God Is Dead - Black Sabbath","God Is Dead? - Black Sabbath"
"426","Tomorrow - Silverchair","Tomorrow - Remastered - Silverchair"
"427","Purple Haze - Jimi Hendrix","Purple Haze - Jimi Hendrix"
"428","Can I Play With Madness - Iron Maiden","Can I Play With Madness - 1998 Remastered Version - Iron Maiden"
"429","Holiday - Green Day","Holiday/Boulevard Of Broken Dreams - Green Day"
"430","By The Way - Red Hot Chili Peppers","By the Way (Karaoke Version) [originally Performed by The Red Hot Chili Peppers] - Pro Choice Karaoke"
"431","Sweet Dreams - Marilyn Manson","Sweet Dreams (Are Made Of This) - Marilyn Manson"
"432","Boulevard Of Broken Dreams - Green Day","Holiday/Boulevard Of Broken Dreams - Green Day"
"433","Summer Of '69 - Bryan Adams","Summer Of '69 - Bryan Adams"
"434","Got The Life - Korn","Got the Life - Korn"
"435","Tuesday's Gone - Lynyrd Skynyrd","Tuesday's Gone - Lynyrd Skynyrd"
"436","Can't Stop - Red Hot Chili Peppers","Can't Stop - Red Hot Chili Peppers"
"437","Shoot To Thrill - AC/DC","Shoot to Thrill - AC/DC"
"438","Fall To Pieces - Velvet Revolver","Fall to Pieces - Velvet Revolver"
"439","Why Does Love (Do This To Me) - Exponents","Why Does Love Do This To Me - The Exponents"
"440","Hypnotize - System Of A Down","Lonely Day - System Of A Down"
"441","Holy Diver - Dio","Holy Diver - Dio"
"442","I Don't Like The Drugs - Marilyn Manson","I Don't Like The Drugs (But The Drugs Like Me) - Marilyn Manson"
"443","Shadow Of Your Love - Guns N' Roses"," - "
"444","Rollin' - Limp Bizkit"," - "
"445","Live And Let Die - Guns N' Roses","Live And Let Die - Guns N' Roses"
"446","The Memory Remains - Metallica"," - "
"447","Gutter Black - Hello Sailor"," - "
"448","Somewhere I Belong - Linkin Park","Somewhere I Belong - Linkin Park"
"449","Carry On Wayward Son - Kansas","Carry on Wayward Son - Kansas"
"450","Burden In My Hand - Soundgarden","Burden In My Hand - Soundgarden"
"451","Heaven And Hell - Black Sabbath","Heaven and Hell - Black Sabbath"
"452","The Outsider - A Perfect Circle","The Outsider - A Perfect Circle"
"453","Gone Away - The Offspring","Gone Away - The Offspring"
"454","Seasons In The Abyss - Slayer","Seasons In The Abyss - Slayer"
"455","Garden - Pearl Jam","Garden - Pearl Jam"
"456","Undertow - Tool","Undertow - 8-Bit Arcade"
"457","Are You Ready - AC/DC","Are You Ready - AC/DC"
"458","I Miss You - Blink 182"," - "
"459","Since I've Been Loving You - Led Zeppelin","Since I've Been Loving You - Led Zeppelin"
"460","From Can To Can't - Sound City","From Can to Can't - Corey Taylor Dave Grohl Rick Nielsen Scott Reeder"
"461","N.I.B. - Black Sabbath","N.I.B. - 2009 Remastered Version - Black Sabbath"
"462","Inside The Fire - Disturbed"," - "
"463","L.A. Woman - The Doors","Riders On The Storm - The Doors"
"464","Corduroy - Pearl Jam","Corduroy - Remastered - Pearl Jam"
"465","Blood - Pearl Jam","Blood (Remastered) - Pearl Jam"
"466","Jailbreak - AC/DC"," - "
"467","Falling Away From Me - Korn","Falling Away from Me - Korn"
"468","Bennie & The Jets - Elton John","Bennie And The Jets - Remastered 2014 - Elton John"
"469","All Apologies - Nirvana","All Apologies - Nirvana"
"470","Third Day Of A Seven Day Binge - Marilyn Manson","Third Day Of A Seven Day Binge - Marilyn Manson"
"471","Child In Time - Deep Purple","Child In Time - 1995 Remastered Version - Deep Purple"
"472","How You Remind Me - Nickelback"," - "
"473","I'm On Fire - Bruce Springsteen","I'm on Fire - Bruce Springsteen"
"474","Shepherd Of Fire - Avenged Sevenfold","Shepherd of Fire - Avenged Sevenfold"
"475","Soul To Squeeze - Red Hot Chili Peppers"," - "
"476","Roadhouse Blues - The Doors","Roadhouse Blues - The Doors"
"477","Mouth For War - Pantera"," - "
"478","Mother - Danzig"," - "
"479","The Mephistopheles Of Los Angeles - Marilyn Manson","The Mephistopheles Of Los Angeles - Marilyn Manson"
"480","Fake Plastic Trees - Radiohead","Fake Plastic Trees - Radiohead"
"481","Aces High - Iron Maiden","Aces High - 1998 Remastered Version - Iron Maiden"
"482","Out Of The Black - Royal Blood","Out Of The Black - Royal Blood"
"483","Born To Be Wild - Steppenwolf","Born To Be Wild - Steppenwolf"
"484","I Stay Away - Alice In Chains","I Stay Away - Alice In Chains"
"485","Refugee - Tom Petty","Refugee - Tom Petty and the Heartbreakers"
"486","Glory Glory - Head Like A Hole"," - "
"487","When I Come Around - Green Day","When I Come Around - Green Day"
"488","Nookie - Limp Bizkit","Nookie - Limp Bizkit"
"489","I Want To Break Free - Queen","I Want To Break Free - Single Remix - Queen"
"490","Hurt - Nine Inch Nails","Hurt - Nine Inch Nails"
"491","I Used To Love Her - Guns N' Roses"," - "
"492","Sunshower - Chris Cornell"," - "
"493","Mean To Me - Crowded House","Mean To Me - Crowded House"
"494","Let It Die - Foo Fighters","Let It Die - Foo Fighters"
"495","Easy - Faith No More"," - "
"496","Before I Forget - Slipknot"," - "
"497","Hurricane - Bob Dylan","Hurricane - Bob Dylan"
"498","Room To Breathe - Blindspott","Room to Breathe - Blindspott"
"499","Sweat It Out - Jimmy Barnes","Sweat It Out - Jimmy Barnes"
"500","Welcome To The Black Parade - My Chemical Romance","Welcome to the Black Parade - My Chemical Romance"
"501","Every Little Thing She Does Is Magic - The Police","Every Little Thing She Does Is Magic - Remastered 2003 - The Police"
"502","How Did We Get So Dark - Royal Blood","How Did We Get So Dark? - Royal Blood"
"503","Wake Me Up When September Ends - Green Day","Wake Me Up When September Ends - Green Day"
"504","Gold On The Ceiling - The Black Keys","Gold On The Ceiling - The Black Keys"
"505","I Am Mine - Pearl Jam","I Am Mine - Pearl Jam"
"506","If I Had A Tail - Queens Of The Stone Age","If I Had A Tail - Queens of the Stone Age"
"507","For Billy - Highly Suspect","For Billy - Highly Suspect"
"508","Prayer - Disturbed","Prayer - Disturbed"
"509","Satisfaction - The Rolling Stones","(I Can't Get No) Satisfaction - Mono Version / Remastered 2002 - The Rolling Stones"
"510","Sake Bomb - The D4","Sake Bomb - English Version - The D4"
"511","Suck My Kiss - Red Hot Chili Peppers","Suck My Kiss - Red Hot Chili Peppers"
"512","Peace Sells But Who's Buying - Megadeth","Peace Sells - 2011 - Remastered - Megadeth"
"513","Psycho Killer - Talking Heads","Psycho Killer - 2005 Remastered Version - Talking Heads"
"514","Far Behind - Candlebox","Far Behind - Candlebox"
"515","And She Was - Talking Heads","And She Was - 2005 Remastered Version - Talking Heads"
"516","It's Been A While - Staind"," - "
"517","Old Man - Neil Young","Old Man - Neil Young"
"518","Fever - The Black Keys","Fever - The Black Keys"
"519","The Boys Light Up - Australian Crawl","The Boys Light Up - Remastered 2013 - Australian Crawl"
"520","Leash - Pearl Jam","Leash (Remastered) - Pearl Jam"
"521","No Second Prize - Jimmy Barnes","No Second Prize - Jimmy Barnes"
"522","Stricken - Disturbed","Stricken - Disturbed"
"523","Rusty Cage - Soundgarden","Rusty Cage - Soundgarden"
"524","With Or Without You - U2","With Or Without You - Remastered - U2"
"525","How I Could Just Kill A Man - Rage Against The Machine","How I Could Just Kill a Man - Rage Against The Machine"
"526","Supersystem - The Feelers","Venus - 2015 Remastered Version - the feelers"
"527","Walk Of Life - Dire Straits","Walk Of Life - Dire Straits"
"528","Neon Sunrise - I Am Giant"," - "
"529","Born To Run - Bruce Springsteen","Born to Run - Bruce Springsteen"
"530","Come Out And Play - The Offspring","Come Out and Play - The Offspring"
"531","Voodoo Child (Slight Return) - Jimi Hendrix","Voodoo Child (Slight Return) - Jimi Hendrix"
"532","Bleeding Me - Metallica","Bleeding Me - Metallica"
"533","You Know You?re Right - Nirvana"," - "
"534","Mother - Pink Floyd","Mother - Pink Floyd"
"535","Hash Pipe - Weezer","Hash Pipe - Molotov Cocktail Piano"
"536","Slice Of Heaven - Dave Dobbyn / Herbs","Slice of Heaven - Dave Dobbyn Herbs"
"537","When The Curtain Falls - Greta Van Fleet"," - "
"538","Hey Joe - Jimi Hendrix","Hey Joe - Jimi Hendrix"
"539","My Generation - Limp Bizkit"," - "
"540","Who Made Who - AC/DC","You Shook Me All Night Long - AC/DC"
"541","Indestructible - Disturbed"," - "
"542","I Want It All - Queen","I Want It All - Single Version - Queen"
"543","Wait And Bleed - Slipknot","Wait And Bleed - Slipknot"
"544","Good Riddance (Time Of Your Life) - Green Day","Good Riddance (Time of Your Life) - Green Day"
"545","Home Sweet Home - Motley Crue","Home Sweet Home - M?tley Cr?e"
"546","Tainted Love - Marilyn Manson","Tainted Love - Marilyn Manson"
"547","Misty Mountain Hop - Led Zeppelin","Misty Mountain Hop - Remastered - Led Zeppelin"
"548","The Kids Aren't Alright - The Offspring"," - "
"549","Legs - ZZ Top","Legs - 2008 Remastered Version - ZZ Top"
"550","Supersoaker - Kings Of Leon","Supersoaker - Kings of Leon"
"551","Blank - Blindspott","Blank - Blindspott"
"552","Don't Look Back In Anger - Oasis","Don't Look Back in Anger - Remastered - Oasis"
"553","Another One Bites The Dust - Queen","Another One Bites The Dust - Remastered 2011 - Queen"
"554","The Red - Chevelle","The Red - Chevelle"
"555","Cuts Like A Knife - Bryan Adams","Straight From The Heart - Bryan Adams"
"556","The Vengeful One - Disturbed"," - "
"557","Sister - The Black Keys","Sister - The Black Keys"
"558","Midlife Crisis - Faith No More","Midlife Crisis - Faith No More"
"559","Behind The Sun - Red Hot Chili Peppers","Behind The Sun - Red Hot Chili Peppers"
"560","Baker Steet - Foo Fighters"," - "
"561","What It's Like - Everlast","What It's Like - Everlast"
"562","Bad Moon Rising - Creedence Clearwater Revival","Bad Moon Rising - Creedence Clearwater Revival"
"563","Nimble Bastard - Incubus","Nimble Bastard - Incubus"
"564","Another Way To Die - Disturbed","Another Way To Die - Disturbed"
"565","Layla - Derek And The Dominos","Layla - 40th Anniversary Version / 2010 Remastered - Derek & The Dominos"
"566","In Hiding - Pearl Jam","In Hiding - Pearl Jam"
"567","Plug In Baby - Muse","Plug In Baby - Muse"
"568","Am I Evil - Metallica"," - "
"569","Tusk - Fleetwood Mac","Tusk - 2015 Remastered - Fleetwood Mac"
"570","Outside - Staind","Outside - Original - Staind"
"571","What's My Age Again? - Blink 182","What's My Age Again? - blink-182"
"572","Time - Pink Floyd","Time - Pink Floyd"
"573","Stripsearch - Faith No More","Stripsearch - Faith No More"
"574","La Grange - ZZ Top","La Grange - 2005 Remastered Version - ZZ Top"
"575","Voices - Alice In Chains","Voices - Alice In Chains"
"576","Ashes To Ashes - Faith No More","Ashes To Ashes - Faith No More"
"577","Heaven Beside You - Alice In Chains","Heaven Beside You - Alice In Chains"
"578","You Again - Shihad","You Again - Remastered - Shihad"
"579","#1 Crush - Garbage","#1 Crush - Garbage"
"580","Ten Tonne Skeleton - Royal Blood","Ten Tonne Skeleton - Royal Blood"
"581","Where Is My Mind - The Pixies"," - "
"582","All The Small Things - Blink 182","All The Small Things - blink-182"
"583","Losing My Religion - R.E.M.","Losing My Religion - R.E.M."
"584","First - Cold War Kids","First - Return To Tackyland - Cold War Kids"
"585","D'yer mak'er - Led Zeppelin","D'yer Mak'er - Led Zeppelin"
"586","Something From Nothing - Foo Fighters","Something from Nothing - Foo Fighters"
"587","Sitting Inside My Head - Supergroove","Sitting Inside My Head - Supergroove"
"588","Little By Little - Oasis","Little By Little - Oasis"
"589","Dark Necessities - Red Hot Chili Peppers","Dark Necessities - Red Hot Chili Peppers"
"590","It's My Life - Bon Jovi","It's My Life - Bon Jovi"
"591","Cherub Rock - Smashing Pumpkins","Cherub Rock - Remastered 2011 - The Smashing Pumpkins"
"592","Close My Eyes Forever - Lita Ford / Ozzy Osbourne","Close My Eyes Forever - Lita Ford Ozzy Osbourne"
"593","The Kill - 30 Seconds To Mars","The Kill (Bury Me) - Thirty Seconds To Mars"
"594","My Own Summer (Shove It) - Deftones","My Own Summer (Shove It) - Deftones"
"595","Dancing In The Dark - Bruce Springsteen","Dancing In the Dark - Bruce Springsteen"
"596","Snow - Red Hot Chili Peppers","Snow (Hey Oh) - Red Hot Chili Peppers"
"597","Bath Salts - Highly Suspect","Bath Salts - Highly Suspect"
"598","Blaze Of Glory - Bon Jovi","Blaze Of Glory - From ""Young Guns II"" Soundtrack - Jon Bon Jovi"
"599","Youth Of The Nation - P.O.D.","Youth Of The Nation - P.O.D."
"600","I Was Made For Loving You - Kiss"," - "
"601","Tuesday's Gone - Metallica","Tuesday's Gone - Metallica"
"602","Zephyr Song - Red Hot Chili Peppers","The Zephyr Song - Red Hot Chili Peppers"
"603","About A Girl (MTV Unplugged) - Nirvana","About A Girl - Nirvana"
"604","My Way - Limp Bizkit"," - "
"605","Mr Jones - Counting Crows","Mr. Jones - Counting Crows"
"606","21 Guns - Green Day","21 Guns - feat. Rebecca Naomi Jones, Christina Sajous, Mary Faber, Stark Sands, John Gallagher Jr., Michael Esper, Company [Album Version] - Green Day"
"607","Big Balls - AC/DC","Big Balls - AC/DC"
"608","Victoria - Exponents","Victoria - Original Single Version - The Exponents"
"609","I Stand Alone - Godsmack","I Stand Alone - From ""The Scorpion King"" Soundtrack - Godsmack"
"610","Lay Down Your Guns - Jimmy Barnes","Lay Down Your Guns - Jimmy Barnes"
"611","I Sat By The Ocean - Queens Of The Stone Age","I Sat By The Ocean - Queens of the Stone Age"
"612","My My Hey Hey (Out Of The Blue) - Neil Young"," - "
"613","Re-Education - Rise Against","Re-Education (Through Labor) - Rise Against"
"614","All Nightmare Long - Metallica","All Nightmare Long - Metallica"
"615","Santa Monica - Everclear","Santa Monica - Everclear"
"616","Wake Up - Rage Against The Machine","Wake Up - Remastered - Rage Against The Machine"
"617","Paranoid Android - Radiohead","Paranoid Android - Radiohead"
"618","I'm On Fire - Head Like A Hole"," - "
"619","Mobscene - Marilyn Manson","mOBSCENE - Marilyn Manson"
"620","Animal - Devilskin","Animal - Devilskin"
"621","Black Sabbath - Black Sabbath","Paranoid - 2009 Remastered Version - Black Sabbath"
"622","Little Sister - Queens Of The Stone Age","Little Sister - Queens of the Stone Age"
"623","Where The Streets Have No Name - U2","Where The Streets Have No Name - Remastered - U2"
"624","Hey Man, Nice Shot - Filter","Hey Man, Nice Shot - Remastered Version - Filter"
"625","Centerfold - J. Geils Band","Centerfold - The J. Geils Band"
"626","The Light - Disturbed"," - "
"627","Rebel Yell - Billy Idol","Rebel Yell - Billy Idol"
"628","The Day That Never Comes - Metallica","The Day That Never Comes - Metallica"
"629","Over The Hills And Far Away - Led Zeppelin","Over The Hills And Far Away - Remastered - Led Zeppelin"
"630","Here To Stay - Korn","Here To Stay - Korn"
"631","Every Rose Has It's Thorn - Poison"," - "
"632","Hysteria - Muse","Hysteria - Muse"
"633","Rock 'N' Roll - Led Zeppelin"," - "
"634","Lights Out - Royal Blood","Lights Out - Royal Blood"
"635","Girls Girls Girls - Motley Crue","Girls, Girls, Girls - M?tley Cr?e"
"636","My Friend Of Misery - Metallica"," - "
"637","Armageddon It - Def Leppard","Armageddon It - Remastered 2017 - Def Leppard"
"638","Take Out The Gunman - Chevelle"," - "
"639","My Michelle - Guns N' Roses","My Michelle - Guns N' Roses"
"640","Shadow Of The Day - Linkin Park","Shadow Of The Day - Linkin Park"
"641","A Kind Of Magic - Queen","A Kind Of Magic - Remastered 2011 - Queen"
"642","Overkill - Motorhead","Overkill - Mot?rhead"
"643","Pretty Noose - Soundgarden","Pretty Noose - Soundgarden"
"644","Rearviewmirror - Pearl Jam","Rearviewmirror (Remastered) - Pearl Jam"
"645","Take The Power Back - Rage Against The Machine","Take The Power Back - Remastered - Rage Against The Machine"
"646","Love Bites (So Do I) - Halestorm","Love Bites (So Do I) - Halestorm"
"647","A New Level - Pantera","A New Level - Pantera"
"648","Radioactive - Imagine Dragons","Radioactive - Imagine Dragons"
"649","Sabbath Bloody Sabbath - Black Sabbath","Sabbath Bloody Sabbath - 2009 Remastered Version - Black Sabbath"
"650","Zero - Smashing Pumpkins","Zero - Remastered 2012 - The Smashing Pumpkins"
"651","Cult Of Personality - Living Colour","Cult of Personality - Living Colour"
"652","Little Monster - Royal Blood","Little Monster - Royal Blood"
"653","Fortunate Son - John Fogerty/Foo Fighters"," - "
"654","Testify - Rage Against The Machine","Testify - Rage Against The Machine"
"655","My Own Prison - Creed","My Own Prison - Creed"
"656","Icky Thump - The White Stripes","Icky Thump - The White Stripes"
"657","Listen To The Music - The Doobie Brothers","Listen To The Music - The Doobie Brothers"
"658","More Human Than Human - White Zombie"," - "
"659","Warning - Incubus","Warning - Incubus"
"660","From The Blind Spot - Blacklistt","From the Blind Spot - Blacklistt"
"661","Pork and Beans - Weezer"," - "
"662","Ziggy Stardust - David Bowie","Suffragette City - 2012 Remastered Version - David Bowie"
"663","Way Down We Go - Kaleo","Way Down We Go - Kaleo"
"664","Dissident - Pearl Jam","Dissident (Remastered) - Pearl Jam"
"665","I Am The Fire - Halestorm","I Am The Fire - Halestorm"
"666","I'm Shipping Up To Boston - Dropkick Murphys","I'm Shipping Up To Boston - Dropkick Murphys"
"667","Absolute Zero - Stone Sour","Absolute Zero - Stone Sour"
"668","The End - The Doors","The End - The Doors"
"669","Ammunition - Villainy","Ammunition - Villainy"
"670","Same In The End - Sublime","Same In The End - Sublime"
"671","My Curse - Killswitch Engage","My Curse - Killswitch Engage"
"672","Vasoline - Stone Temple Pilots","Vasoline - Stone Temple Pilots"
"673","Lying From You - Linkin Park","Lying From You - Linkin Park"
"674","Two Out Of Three Ain't Bad - Meatloaf","Two Out Of Three Ain't Bad (as made famous by Meatloaf) - The Bats Of Hell"
"675","Narcissistic Cannibal - Korn"," - "
"676","Find Me - Kings Of Leon","Find Me - Kings of Leon"
"677","Drain You - Nirvana","Drain You - Nirvana"
"678","Figure It Out - Royal Blood","Figure It Out - Royal Blood"
"679","High Hopes - Pink Floyd","High Hopes - Pink Floyd"
"680","Shout (2000) - Disturbed","Shout 2000 - Disturbed"
"681","Rape Me - Nirvana","Rape Me - Nirvana"
"682","Big Me - Foo Fighters","Big Me - Foo Fighters"
"683","I Need You Tonight - INXS"," - "
"684","Queen Of The Half Crown - The Strypes","Queen Of The Half Crown - The Strypes"
"685","The Evil Has Landed - Queens Of The Stone Age","The Evil Has Landed - Queens of the Stone Age"
"686","Until It Sleeps - Metallica","Until It Sleeps - Metallica"
"687","Verona - Elemeno P","Verona - Elemeno P"
"688","Nature - Muttonbirds"," - "
"689","Dead and Gone - The Black Keys","Dead And Gone - The Black Keys"
"690","The Wizard - Black Sabbath","The Wizard - 2009 Remastered Version - Black Sabbath"
"691","Papercut - Linkin Park","Papercut - Linkin Park"
"692","Mr Crowley - Ozzy Osbourne"," - "
"693","Only Happy When It Rains - Garbage","Only Happy When It Rains - Garbage"
"694","Ana's Song (Open Fire) - Silverchair","Ana's Song (Open Fire) - Silverchair"
"695","Down Under - Men At Work","Down Under - Men At Work"
"696","Long Road To Ruin - Foo Fighters","Long Road To Ruin - Foo Fighters"
"697","Love Bites - Def Leppard","Love Bites - Remastered 2017 - Def Leppard"
"698","When You Were Young - The Killers","When You Were Young - The Killers"
"699","MF From Hell - The Datsuns","MF From Hell - The Datsuns"
"700","Silent Lucidity - Queensryche","Silent Lucidity - Remastered/2003 - Queensr?che"
"701","The Sound Of Madness - Shinedown","Sound Of Madness - Shinedown"
"702","Disarm - Smashing Pumpkins","Disarm - Remastered - The Smashing Pumpkins"
"703","Disillusioned - A Perfect Circle","Disillusioned - A Perfect Circle"
"704","Dr. Feelgood - Motley Crue","Kickstart My Heart - M?tley Cr?e"
"705","Fistful of Steel - Rage Against The Machine","Fistful of Steel - Rage Against The Machine"
"706","Hemorrhage (In My Hands) - Fuel","Hemorrhage (In My Hands) - Fuel"
"707","Achilles Last Stand - Led Zeppelin","Achilles Last Stand - Led Zeppelin"
"708","A Song For The Dead - Queens Of The Stone Age"," - "
"709","Animal - Def Leppard","Animal - Def Leppard"
"710","Comfortably Shagged - Head Like A Hole","Comfortably Shagged - Head Like A Hole"
"711","Black Betty - Spiderbait","Black Betty - Edit - Spiderbait"
"712","I Disappear - Metallica"," - "
"713","Creep - Stone Temple Pilots","Creep - Stone Temple Pilots"
"714","Here I Go Again - Whitesnake","Here I Go Again - Whitesnake"
"715","Remember Everything - Five Finger Death Punch","Remember Everything - Five Finger Death Punch"
"716","If You Want Blood (You Got It) - AC/DC","If You Want Blood (You've Got It) - AC/DC"
"717","Larger Than Life - The Feelers","Larger Than Life [Sin Sing Studio Mix] - the feelers"
"718","No Quarter - Led Zeppelin","No Quarter - Led Zeppelin"
"719","Anna Molly - Incubus","Anna Molly - Incubus"
"720","Phantom Of The Opera - Iron Maiden","Phantom Of The Opera - 1998 Remastered Version - Iron Maiden"
"721","Hook, Line and Sinker - Royal Blood","Hook, Line & Sinker - Royal Blood"
"722","High Voltage - AC/DC","T.N.T. - AC/DC"
"723","Smooth Sailing - Queens Of The Stone Age","Smooth Sailing - Queens of the Stone Age"
"724","Roxanne - The Police","Roxanne - Remastered 2003 - The Police"
"725","Around The World - Red Hot Chili Peppers","Around The World - Red Hot Chili Peppers"
"726","18 And Life - Skid Row","18 And Life - Skid Row"
"727","Take A Look Around - Limp Bizkit"," - "
"728","The River - Bruce Springsteen","Hungry Heart - Bruce Springsteen"
"729","Uprising - Muse","Uprising - Muse"
"730","Beds Are Burning - Midnight Oil","Beds Are Burning - Remastered - Midnight Oil"
"731","Deb's Night Out - Shihad"," - "
"732","Fairies Wear Boots - Black Sabbath","Fairies Wear Boots - 2009 Remastered Version - Black Sabbath"
"733","Rope - Foo Fighters"," - "
"734","Like A Bird - Black Label Society","Like A Bird - Black Label Society"
"735","Dig - Dead Favours"," - "
"736","American Girl - Tom Petty","American Girl - Tom Petty and the Heartbreakers"
"737","30-30/150 - Stone Sour","30/30-150 - Stone Sour"
"738","The Dolphin's Cry - Live","The Dolphin's Cry - Live"
"739","St. Anger - Metallica","St. Anger - Metallica"
"740","Take Me To The River - Talking Heads","Take Me To The River - 2005 Remastered Version - Talking Heads"
"741","Israel's Son - Silverchair","Israel's Son - Remastered - Silverchair"
"742","Don't Dream It's Over - Crowded House","Don't Dream It's Over - Crowded House"
"743","Don't Look Back - I Am Giant","Don't Look Back - I Am Giant"
"744","Careless Whisper - Seether","Careless Whisper - Seether"
"745","So Far Away - Staind","So Far Away - Staind"
"746","Alright - Tadpole","Alright - Tadpole"
"747","When A Blind Man Cries - Metallica"," - "
"748","Faded - Ben Harper","Faded - Ben Harper"
"749","Twisted Transistor - Korn"," - "
"750","Beautiful War - Kings Of Leon","Beautiful War - Kings of Leon"
"751","Generator - Foo Fighters","Generator - Foo Fighters"
"752","Reckless - Australian Crawl"," - "
"753","Hardwired - Metallica","Hardwired - Metallica"
"754","Lonely Boy - The Black Keys","Lonely Boy - The Black Keys"
"755","Aneurysm - Nirvana","Aneurysm - 1992/Live at Reading - Nirvana"
"756","The Last Fight - Velvet Revolver","The Last Fight - Velvet Revolver"
"757","Lit Up - Blindspott","Lit Up - Blindspott"
"758","Sweet Leaf - Black Sabbath","Sweet Leaf - 2009 Remastered Version - Black Sabbath"
"759","Iris - Goo Goo Dolls"," - "
"760","Die, Die, Die My Darling - Metallica"," - "
"761","Stacked Actors - Foo Fighters","Stacked Actors - Foo Fighters"
"762","You Took The Words Right Out Of My Mouth - Meatloaf","You Took The Words Right Out Of My Mouth (as made famous by Meatloaf) - The Bats Of Hell"
"763","Supermassive Blackhole - Muse"," - "
"764","Blue On Black - Kenny Wayne Shepherd Band"," - "
"765","While My Guitar Gently Weeps - The Beatles","While My Guitar Gently Weeps (Live from Austin) - The Beatles Covered"
"766","Megalomaniac - Incubus","Megalomaniac - Incubus"
"767","Killed By Death - Motorhead"," - "
"768","Breaking The Girl - Red Hot Chili Peppers","Breaking The Girl - Red Hot Chili Peppers"
"769","Higher - Creed","Higher - Creed"
"770","It's So Easy - Guns N' Roses","It's So Easy - Guns N' Roses"
"771","Bitter Sweet Symphony - The Verve","Bitter Sweet Symphony - The Verve"
"772","Good Times - Jimmy Barnes / INXS"," - "
"773","Comedown - Bush","Comedown - Remastered - Bush"
"774","Comfort Me - Shihad","Comfort Me - Pacifier / Shihad"
"775","Mama Said - Metallica","Mama Said - Metallica"
"776","Freak Like Me - Halestorm","Freak Like Me - Halestorm"
"777","Planet Caravan - Pantera","Planet Caravan - Pantera"
"778","The Lost Art Of Keeping A Secret - Queens Of The Stone Age","The Lost Art Of Keeping A Secret - Queens of the Stone Age"
"779","Run Like Hell - Pink Floyd","Run Like Hell - Pink Floyd"
"780","Today - Smashing Pumpkins","Today - Remastered - The Smashing Pumpkins"
"781","Bad Medicine - Bon Jovi","Bad Medicine - Bon Jovi"
"782","Word Up - Korn"," - "
"783","Cat People (Putting Out Fire) - David Bowie","Cat People (Putting Out Fire) - 1999 Remastered Version - David Bowie"
"784","Doesn't Remind Me - Audioslave","Doesn't Remind Me - Audioslave"
"785","Changes - Black Sabbath"," - "
"786","Fans - Kings Of Leon","Fans - Kings of Leon"
"787","Bad To The Bone - George Thorogood","Bad To The Bone - George Thorogood & The Destroyers"
"788","Beverly Hills - Weezer","Beverly Hills - Weezer"
"789","Dead Memories - Slipknot","Dead Memories - Slipknot"
"790","Let It Be - The Beatles","Let It Be - Remastered 2009 - The Beatles"
"791","Song 2 - Blur","Song 2 - 2012 Remastered Version - Blur"
"792","Sunday Bloody Sunday - U2","Sunday Bloody Sunday - Remastered 2008 - U2"
"793","I Should Have Known - Foo Fighters"," - "
"794","Karma Police - Radiohead","Karma Police - Radiohead"
"795","Longview - Green Day","Longview - Green Day"
"796","Personal Jesus - Marilyn Manson","Personal Jesus - Marilyn Manson"
"797","Machinehead - Bush","Machinehead - Remastered - Bush"
"798","The Boys Are Back In Town - Thin Lizzy","The Boys Are Back in Town - Thin Lizzy"
"799","Mayonaise - Smashing Pumpkins","Mayonaise - Remastered - The Smashing Pumpkins"
"800","Use Somebody - Kings Of Leon","Use Somebody - Kings of Leon"
"801","Sleep Now In The Fire - Rage Against The Machine","Sleep Now In the Fire - Rage Against The Machine"
"802","Heart Of Gold - Neil Young","Heart Of Gold - Neil Young"
"803","Don't Go Away - Oasis","Don't Go Away - Oasis"
"804","Hangover Sunday - Gud Thanx"," - "
"805","Fake It - Seether","Fake It - Seether"
"806","Hot For Teacher - Van Halen","Hot For Teacher - 2015 Remastered Version - Van Halen"
"807","Voices - Disturbed","Voices - Disturbed"
"808","With Arms Wide Open - Creed","With Arms Wide Open - Creed"
"809","Let's Dance - David Bowie","Let's Dance - 1999 Remastered Version - David Bowie"
"810","Mountains - Devilskin","Mountains - Devilskin"
"811","The Distance - Cake","The Distance - Cake"
"812","Sure Know Something - Kiss","Sure Know Something - KISS"
"813","Purple Heart - I Am Giant","Purple Heart - I Am Giant"
"814","People Live Here - Rise Against","People Live Here - Rise Against"
"815","Pure Morning - Placebo","Pure Morning - Placebo"
"816","Hip To Be Sqaure - Huey Lewis & The News"," - "
"817","Bleed Together - Soundgarden"," - "
